 ;1960;1961;1962;1963;1964;1965;1966;;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Burundi;71.4;72.1;73.9;78.9;86.0;51.0;51.8;;54.5;54.6;55.5;69.4;70.6;69.0;85.2;94.3;112.3;117.1;139.4;151.1;189.1;213.3;215.8;220.2;229.1;203.9;232.4;238.4;219.4;205.3;207.3;206.4;208.7;188.6;169.0;165.6;168.6;146.5;164.2;148.1;130.8;138.0;135.6;124.1;114.4;128.5;151.2;166.3;170.7;194.7;204.5;222.7;236.5;238.2;241.5;257.8;289.4;242.5;244.1;232.1;217.0;216.8;221.2;259.0;..
Cabo Verde;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;448.4;433.6;431.0;418.4;393.5;405.2;553.8;674.6;748.3;746.8;841.8;858.1;935.1;1,251.9;1,012.3;1,184.2;1,192.3;1,139.2;1,185.6;1,317.6;1,176.7;1,208.5;1,311.2;1,694.0;1,900.9;1,972.8;2,220.1;3,268.3;3,839.9;3,592.3;3,501.0;3,880.1;3,583.5;3,757.7;3,739.3;3,169.1;3,312.7;3,534.3;3,860.5;3,903.1;3,126.4;3,398.2;3,754.3;..
Cambodia;115.0;113.5;114.0;123.2;129.6;140.8;145.1;;149.8;162.6;146.5;107.1;144.8;74.7;102.6;85.1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;247.3;262.4;315.1;313.6;301.2;267.4;295.6;301.5;322.9;341.0;364.3;410.1;475.1;539.7;629.9;742.4;734.8;782.7;880.3;950.5;1,015.2;1,098.1;1,170.7;1,281.1;1,400.9;1,533.3;1,671.4;1,577.9;1,625.2;1,759.6;..
Cameroon;120.0;125.5;130.9;132.3;139.8;143.1;146.0;;156.7;170.7;175.1;178.4;186.6;220.0;271.7;299.9;386.2;381.4;435.4;581.9;718.0;783.4;748.8;730.8;743.5;769.0;871.5;1,172.5;1,250.7;1,137.2;993.1;1,077.3;1,005.3;995.3;1,295.9;692.9;822.4;817.2;773.9;789.3;786.8;700.2;707.0;780.3;976.5;1,120.0;1,129.4;1,178.0;1,311.0;1,476.0;1,445.9;1,383.8;1,497.9;1,433.7;1,559.1;1,631.7;1,399.7;1,426.1;1,479.9;1,594.1;1,538.7;1,539.1;1,654.3;1,563.5;..
Canada;2,259.3;2,240.4;2,268.6;2,374.5;2,555.1;2,770.4;3,047.1;;3,217.2;3,462.7;3,764.0;4,135.8;4,535.4;5,106.7;5,858.3;7,056.7;7,536.5;8,838.9;8,949.1;9,154.4;10,077.5;11,208.2;12,379.0;12,527.3;13,477.1;13,930.5;14,170.1;14,521.2;16,377.7;19,012.6;20,794.7;21,525.9;21,846.8;20,950.3;20,186.8;19,997.6;20,679.6;21,297.0;21,901.6;21,024.6;22,315.2;24,271.0;23,822.1;24,255.3;28,300.5;32,143.7;36,382.5;40,504.1;44,659.9;46,710.5;40,876.3;47,562.1;52,223.7;52,669.1;52,635.2;50,956.0;43,596.1;42,315.6;45,129.4;46,548.6;46,374.2;43,562.4;52,515.2;55,522.4;..
Cayman Islands;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;87,184.5;89,960.7;89,704.2;81,398.3;76,873.2;75,435.6;75,466.1;75,685.4;76,610.6;77,295.8;78,858.3;81,255.1;85,231.8;89,846.3;83,897.5;88,475.6;99,624.9;..
Central African Republic;66.8;72.0;71.4;72.8;78.4;81.4;83.6;;84.8;97.1;93.0;91.5;95.4;106.9;123.5;125.7;165.8;194.6;216.6;258.1;293.2;330.0;284.6;303.3;264.0;252.7;338.7;434.4;459.2;476.0;453.0;512.9;475.3;471.9;414.0;267.0;340.4;299.6;271.1;272.1;273.4;243.9;242.6;253.4;283.7;309.2;317.9;340.4;388.5;446.2;452.9;459.8;515.2;525.9;352.2;394.9;351.9;372.1;414.7;435.9;426.4;435.5;461.1;427.1;..
Chad;103.5;108.2;113.6;115.8;119.8;125.0;127.3;;129.9;128.7;131.2;128.0;134.1;153.1;165.4;163.1;211.7;208.0;220.7;258.2;228.1;234.3;198.9;180.5;171.3;186.8;208.0;208.6;219.5;270.4;252.8;298.4;310.7;298.6;226.9;179.0;209.9;223.2;207.3;226.3;192.3;168.1;200.4;225.9;298.2;460.1;664.6;716.7;806.7;936.5;808.2;896.9;988.2;969.6;980.1;1,017.8;774.4;692.0;662.9;720.3;701.6;643.8;685.7;716.8;..
Channel Islands;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41,229.0;43,247.7;44,318.2;42,678.3;45,279.6;49,428.3;57,200.5;58,550.7;63,665.3;75,148.3;..;..;..;..;..;..;..;..;58,094.0;57,683.9;62,316.2;61,281.3;57,339.5;67,960.7;..;..
Chile;504.8;580.9;663.6;645.9;675.8;679.1;781.8;;756.7;757.7;865.7;931.1;1,089.3;1,166.4;1,632.4;1,547.8;716.3;956.8;1,273.1;1,435.8;1,929.0;2,531.6;2,965.4;1,654.0;1,700.2;1,619.4;1,437.4;1,510.0;1,750.3;2,015.9;2,280.3;2,483.6;2,790.6;3,334.0;3,520.9;4,011.0;5,094.4;5,376.8;5,789.7;5,467.2;4,980.0;5,103.0;4,610.6;4,477.2;4,823.3;6,185.3;7,560.5;9,418.3;10,456.8;10,797.0;10,204.6;12,764.6;14,637.8;15,397.8;15,842.2;14,675.2;13,567.4;13,788.2;15,034.1;15,820.0;14,632.7;13,173.8;16,240.6;15,355.5;..
China;89.5;75.8;70.9;74.3;85.5;98.5;104.3;;96.6;91.5;100.1;113.2;118.7;131.9;157.1;160.1;178.3;165.4;185.4;228.5;272.1;312.0;291.4;281.5;297.8;302.6;294.8;281.7;301.7;370.2;407.9;347.6;359.2;423.3;525.4;473.5;609.6;709.4;781.7;828.6;873.3;959.4;1,053.1;1,148.5;1,288.6;1,508.7;1,753.4;2,099.2;2,694.0;3,468.3;3,832.2;4,550.5;5,614.4;6,300.6;7,020.4;7,636.1;8,016.4;8,094.4;8,817.0;9,905.4;10,143.9;10,408.7;12,617.5;12,720.2;..
