 ;1960;1961;1962;1963;1964;1965;1966;;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Morocco;172.6;167.2;191.2;208.1;213.8;219.5;208.5;;215.0;224.7;244.3;257.7;276.5;314.0;376.8;452.1;516.6;537.8;604.3;705.2;825.6;1,097.7;874.8;847.3;758.5;675.0;666.7;846.9;928.5;1,076.1;1,082.0;1,219.4;1,282.6;1,317.3;1,217.4;1,348.5;1,456.0;1,585.7;1,416.9;1,658.5;1,627.1;1,492.4;1,500.4;1,590.5;1,936.1;2,177.8;2,237.6;2,433.2;2,751.4;3,180.2;3,118.1;3,067.9;3,302.5;3,164.0;3,377.6;3,430.5;3,139.2;3,133.0;3,288.5;3,492.7;3,498.6;3,258.3;3,767.5;3,442.0;..
Mozambique;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;284.3;202.6;203.0;198.4;196.3;250.6;295.0;328.0;362.5;333.8;310.1;318.3;343.1;403.0;438.8;458.6;508.0;591.4;546.6;494.6;615.3;681.5;681.1;690.4;603.8;435.8;464.3;510.4;512.2;456.6;504.0;558.3;..
Myanmar;25.1;27.3;28.0;25.8;17.3;15.1;11.8;;16.5;21.5;21.5;20.7;21.0;23.2;24.7;41.2;35.0;38.9;27.7;29.1;29.0;31.0;32.6;42.6;39.0;36.1;40.1;42.1;40.9;39.6;51.0;52.7;50.9;58.5;75.7;104.7;123.3;141.0;107.4;145.1;188.4;195.6;140.8;145.8;223.1;223.2;251.2;301.6;416.6;653.9;752.9;1,003.0;1,204.5;1,193.5;1,190.0;1,281.4;1,159.3;1,218.2;1,263.3;1,288.4;1,415.4;1,479.6;1,231.7;1,149.2;..
Namibia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;2,481.6;2,278.6;2,107.1;2,223.8;1,837.4;1,471.0;1,603.8;1,973.6;2,065.6;1,968.2;2,037.9;2,117.0;2,346.3;2,153.3;2,352.7;2,478.3;2,417.6;2,453.9;2,231.1;2,175.4;2,156.1;1,916.3;1,773.4;2,572.0;3,407.9;3,692.8;4,028.0;4,394.5;4,222.3;4,322.6;5,445.4;5,873.1;6,017.2;5,463.0;5,544.1;4,965.7;4,614.9;5,453.6;5,687.4;5,126.2;4,252.0;4,919.2;5,031.1;..
Nauru;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4,644.4;6,328.1;9,676.0;8,826.0;9,063.0;7,587.3;8,528.6;9,361.0;10,985.9;10,316.5;10,124.7;11,632.7;11,970.9;..
Nepal;50.0;51.3;54.3;46.1;45.1;65.5;79.1;;71.9;64.5;64.5;69.3;69.1;78.5;72.9;89.4;113.2;102.1;95.0;107.7;121.5;124.7;142.5;146.5;146.2;150.6;149.4;158.9;161.4;186.3;184.1;184.9;194.8;164.3;172.1;186.6;197.3;198.5;211.6;204.9;208.5;223.7;240.7;238.9;246.5;279.7;309.3;341.0;386.5;466.7;475.6;589.2;791.2;794.1;809.4;827.7;882.3;880.2;1,028.0;1,161.5;1,185.7;1,139.2;1,229.4;1,336.5;..
Netherlands;1,068.8;1,159.4;1,240.7;1,328.0;1,541.9;1,708.1;1,835.8;;1,991.4;2,185.2;2,643.0;2,927.1;3,378.6;4,104.5;5,345.6;6,441.0;7,335.5;7,925.7;9,166.8;11,179.4;12,798.5;13,791.9;11,520.4;11,072.7;10,680.4;9,977.2;9,926.1;13,783.9;16,709.6;17,744.5;17,397.7;21,290.9;21,732.2;23,904.0;23,122.4;24,646.3;29,258.1;29,006.8;26,700.5;27,885.8;28,272.6;26,214.5;26,896.5;29,343.2;35,751.0;40,436.6;41,994.7;44,900.9;51,799.2;57,879.9;52,722.2;50,999.7;54,230.3;50,070.1;52,198.9;52,900.5;45,193.4;46,039.1;48,675.2;53,044.5;52,476.3;52,162.6;58,727.9;57,025.0;..
New Caledonia;..;..;..;..;..;1,763.5;1,756.2;;1,865.7;2,165.9;2,529.9;3,203.7;3,449.9;4,038.3;4,220.2;4,865.7;6,163.4;5,957.6;6,159.0;6,152.8;7,561.2;8,443.2;6,817.8;6,208.6;5,540.4;5,249.4;5,534.6;7,634.7;9,271.6;12,665.9;13,092.3;14,800.8;15,133.2;16,262.0;15,297.0;16,037.0;18,721.1;18,257.2;16,339.8;17,324.3;17,435.7;16,039.2;15,174.3;16,885.9;21,817.3;25,770.5;26,861.7;29,604.1;36,864.9;37,353.7;35,391.1;37,494.9;40,697.7;37,294.0;38,503.3;39,675.6;32,428.6;32,286.9;33,876.3;36,495.2;34,934.6;34,877.6;37,247.5;35,745.2;..
New Zealand;2,312.9;2,343.3;2,448.6;2,622.2;2,813.5;2,151.3;2,191.3;;2,188.4;1,885.2;2,077.9;..;2,772.9;3,294.6;4,323.2;4,610.6;4,171.8;4,373.8;4,950.6;5,937.0;6,668.1;7,467.2;7,813.9;7,656.5;7,598.3;6,713.8;7,600.6;9,427.6;12,330.9;13,759.2;13,312.4;13,663.0;12,230.1;11,793.1;13,094.3;15,280.3;17,400.4;18,794.4;17,474.2;14,738.4;15,322.2;13,641.1;13,882.9;16,874.2;21,913.7;25,420.2;27,751.1;26,654.6;32,480.0;31,253.0;28,209.4;33,676.8;38,387.6;39,973.4;42,976.6;44,572.9;38,630.7;40,058.2;42,911.0;43,236.9;42,796.4;41,760.6;49,996.4;48,418.6;..
Nicaragua;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;641.9;245.4;238.8;344.1;405.0;388.0;835.2;876.9;895.3;896.7;931.8;961.6;996.9;1,025.1;993.4;999.9;1,076.0;1,158.9;1,223.1;1,323.8;1,493.9;1,438.1;1,495.7;1,644.8;1,746.4;1,794.8;1,913.5;2,025.3;2,079.5;2,127.3;1,981.9;1,905.6;1,876.6;2,064.9;2,255.4;..
Niger;128.5;134.8;143.3;153.4;148.0;166.1;168.3;;155.0;145.1;137.8;139.2;144.6;150.8;187.1;197.5;196.4;193.9;228.8;305.4;352.3;406.4;341.0;307.4;266.5;209.5;200.4;257.0;292.4;289.7;268.5;419.6;380.5;380.1;332.1;204.1;234.6;237.0;218.2;243.5;226.0;192.9;203.5;223.4;263.1;281.3;316.4;331.1;384.7;472.2;458.4;471.6;507.6;525.0;548.2;560.8;481.1;497.0;514.5;568.6;549.8;564.8;590.6;585.4;..
Nigeria;93.4;97.4;104.9;108.0;113.7;117.7;124.8;;99.9;97.7;122.0;225.8;161.5;211.0;254.4;406.3;442.0;561.6;541.2;532.2;668.0;880.1;2,187.9;1,844.8;1,223.6;903.4;882.3;638.7;598.3;549.5;474.5;567.5;609.4;519.6;551.9;762.4;1,302.6;1,673.9;1,765.1;1,871.8;494.1;563.0;583.1;733.5;786.8;992.7;1,250.4;1,652.2;1,876.4;2,227.8;1,883.9;2,280.1;2,504.9;2,728.0;2,976.8;3,201.0;2,679.6;2,144.8;1,941.9;2,125.8;2,334.0;2,074.6;2,065.8;2,162.6;..
Northern Mariana Islands;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16,640.3;16,603.5;16,829.4;15,371.2;14,986.4;14,877.1;15,641.7;13,933.7;14,772.5;13,880.4;14,247.8;14,806.0;16,044.4;17,665.1;24,054.9;30,751.6;25,862.8;23,687.3;17,302.9;..;..;..
Norway;1,441.8;1,560.3;1,667.2;1,775.6;1,937.9;2,164.5;2,317.2;;2,514.0;2,662.1;2,875.2;3,306.2;3,736.3;4,413.6;5,689.6;6,811.5;8,204.5;8,927.2;10,266.1;11,462.6;13,046.5;15,772.2;15,512.5;15,224.9;14,927.5;14,989.5;15,753.6;18,883.2;22,505.9;24,207.3;24,281.1;28,243.0;28,596.9;30,524.0;27,963.7;29,315.8;34,875.7;37,322.0;36,629.0;34,803.5;36,393.3;38,178.2;38,601.9;43,170.6;50,250.3;57,768.7;67,047.2;74,434.5;85,502.3;97,503.5;80,347.6;88,163.2;101,221.8;102,175.9;103,553.8;97,666.7;74,810.0;70,867.4;76,131.8;82,792.8;76,430.6;68,340.0;93,072.9;108,729.2;..
Oman;..;..;..;..;..;106.6;111.5;;172.3;296.3;367.2;382.2;437.0;518.2;663.0;2,181.0;2,663.5;3,106.8;3,164.9;3,002.2;3,875.4;5,879.1;6,748.8;6,636.8;6,585.1;6,928.0;7,393.6;5,074.1;5,094.2;5,165.7;5,468.5;6,475.4;5,984.4;6,272.5;6,029.9;6,054.7;6,352.8;6,913.1;7,052.7;6,139.7;6,742.8;8,321.4;8,191.5;8,380.0;8,896.9;10,030.4;12,357.7;14,533.7;16,151.3;22,974.3;17,938.0;22,552.2;24,166.1;24,722.6;23,563.9;23,121.2;18,777.4;17,082.2;17,802.6;19,887.6;19,132.2;16,707.6;19,509.5;25,056.8;..
Pakistan;81.6;87.5;89.5;93.9;103.0;114.4;123.3;;136.6;143.3;150.5;169.1;175.2;150.6;99.3;134.5;164.8;187.5;208.8;238.2;254.3;293.4;333.5;349.8;315.0;331.4;320.7;317.0;319.9;356.3;359.7;346.7;382.8;399.5;412.7;404.6;455.5;461.4;441.8;427.5;420.7;644.5;610.1;599.8;673.4;774.8;832.8;909.0;1,012.2;1,087.5;985.3;1,011.6;1,161.0;1,236.9;1,259.7;1,303.2;1,421.8;1,468.8;1,567.6;1,620.7;1,437.2;1,322.3;1,506.1;1,588.9;..
Palau;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7,416.5;7,913.5;8,220.5;7,744.6;8,297.9;9,603.8;9,805.9;10,270.5;10,380.3;9,960.8;10,029.3;10,795.6;11,835.4;12,418.8;13,580.0;15,761.4;16,743.4;16,011.7;16,152.4;15,738.5;14,349.3;12,921.8;..;..
Panama;476.6;516.0;545.1;586.1;610.4;650.5;687.8;;743.6;777.0;828.6;891.1;977.5;1,044.2;1,162.3;1,294.3;1,403.7;1,454.8;1,501.9;1,737.6;1,937.7;2,357.8;2,607.2;2,814.2;2,822.9;2,879.2;2,977.4;3,025.3;2,972.1;2,514.2;2,467.5;2,626.1;2,827.6;3,148.4;3,368.2;3,519.0;3,524.9;3,561.3;3,775.6;4,012.1;4,121.6;4,099.0;4,084.3;4,163.5;4,304.1;4,629.0;4,953.1;5,385.6;6,205.8;7,197.1;7,618.4;8,124.6;9,403.4;10,767.3;11,932.3;12,837.2;13,669.6;14,382.2;15,186.0;16,156.1;16,472.8;13,293.3;15,491.3;17,357.6;..
Papua New Guinea;116.1;120.3;125.4;129.6;140.3;154.9;172.1;;190.2;204.3;226.8;259.4;281.5;328.9;486.2;536.9;485.5;529.4;562.4;653.7;754.1;820.0;788.3;732.2;775.6;756.5;702.9;751.6;873.2;993.6;942.2;833.1;949.0;1,058.3;1,159.1;1,236.1;1,004.2;1,077.2;995.2;737.4;653.4;639.3;540.7;509.0;580.6;624.0;748.7;1,245.5;1,379.1;1,635.0;1,579.0;1,879.2;2,303.8;2,653.1;2,578.5;2,742.3;2,502.1;2,332.7;2,495.1;2,584.3;2,593.8;2,446.1;2,624.6;3,115.9;..
Paraguay;..;..;..;..;..;207.0;212.2;;219.1;224.9;236.2;246.9;269.7;305.0;385.4;503.6;556.8;610.6;733.5;875.4;1,139.1;1,444.7;1,778.1;1,666.7;1,696.9;1,309.7;928.4;1,024.2;1,062.0;1,107.0;1,204.1;1,431.8;1,675.7;1,673.4;1,652.8;1,750.9;1,968.4;2,077.5;2,068.2;1,880.9;1,758.3;1,728.3;1,630.2;1,361.2;1,436.8;1,776.9;1,960.5;2,426.4;3,194.3;4,360.4;3,920.2;4,725.7;5,776.3;5,617.1;6,410.8;6,629.4;5,861.4;5,759.0;6,136.1;6,243.0;5,807.8;5,353.3;5,959.4;6,153.1;..
Peru;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;827.4;750.2;1,054.6;761.9;1,077.6;1,767.3;730.2;1,040.5;1,194.5;1,520.7;1,560.5;1,481.3;1,871.4;2,180.6;2,218.3;2,292.4;2,149.7;1,911.7;1,941.3;1,926.0;2,004.0;2,126.1;2,393.7;2,702.2;3,123.3;3,572.4;4,184.9;4,165.0;5,047.2;5,826.8;6,475.7;6,697.2;6,614.8;6,180.1;6,163.9;6,676.3;6,912.1;6,955.9;6,063.6;6,635.5;7,125.8;..
Philippines;263.8;278.5;164.1;177.3;186.5;198.7;213.3;;223.2;242.9;262.4;201.9;218.0;230.1;282.4;377.1;398.1;445.8;499.1;561.4;662.0;761.0;815.2;828.6;723.1;667.7;637.8;605.7;658.2;734.4;806.9;820.5;821.5;936.1;938.8;1,081.4;1,222.3;1,334.1;1,294.1;1,000.0;1,123.2;1,073.3;991.1;1,037.2;1,049.4;1,122.9;1,245.3;1,452.2;1,741.6;1,990.4;1,893.3;2,201.8;2,431.2;2,671.8;2,847.6;2,935.9;2,974.3;3,038.2;3,077.4;3,194.7;3,413.8;3,224.4;3,460.5;3,498.5;..
Poland;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,731.2;2,235.5;2,459.0;2,497.1;2,874.8;3,686.8;4,147.5;4,123.1;4,518.1;4,398.1;4,501.5;4,991.2;5,207.1;5,701.6;6,681.3;8,021.5;9,035.5;11,254.3;13,995.8;11,525.9;12,504.3;13,776.4;13,010.8;13,558.3;14,181.9;12,560.1;12,378.8;13,815.5;15,504.5;15,700.0;15,816.8;18,050.3;18,688.0;..
Portugal;360.5;382.7;407.9;432.5;468.8;520.9;575.0;;646.8;719.1;795.8;934.1;1,064.5;1,302.3;1,748.0;2,000.4;2,127.6;2,173.3;2,267.4;2,457.3;2,755.6;3,368.4;3,246.0;3,079.9;2,735.5;2,522.7;2,705.2;3,861.9;4,803.9;5,623.7;6,056.4;7,884.6;8,959.0;10,810.6;9,534.7;9,977.3;11,781.4;12,185.1;11,575.5;12,199.2;12,475.3;11,526.4;11,734.8;12,936.7;15,797.8;18,064.2;18,780.1;19,839.5;22,811.1;24,949.0;23,151.2;22,520.6;23,217.3;20,563.7;21,653.2;22,103.7;19,250.1;19,992.0;21,490.4;23,562.6;23,330.8;22,242.4;24,661.2;24,515.3;..
Puerto Rico;717.5;777.2;854.7;931.8;1,006.4;1,110.8;1,207.8;;1,335.3;1,480.7;1,661.9;1,852.4;2,044.3;2,246.5;2,432.4;2,614.5;2,738.2;2,946.5;3,208.8;3,567.8;4,024.5;4,502.8;4,920.7;5,115.0;5,217.7;5,730.1;6,008.1;6,455.2;6,980.5;7,595.4;8,033.1;8,652.5;9,064.0;9,659.3;10,212.3;10,876.4;11,579.2;12,173.2;12,817.6;14,304.4;15,221.0;16,192.1;18,123.2;18,731.5;19,557.1;20,989.0;21,959.3;22,935.9;23,664.9;24,898.3;25,768.7;26,435.7;27,278.9;27,944.7;28,513.2;28,981.5;29,763.5;30,627.2;31,108.8;31,615.1;32,916.9;31,427.4;32,601.6;35,208.6;..
Qatar;..;..;..;..;..;..;..;;..;..;..;2,557.4;2,913.0;3,439.9;4,848.6;13,393.3;12,883.2;15,566.0;15,924.0;16,632.2;21,634.6;28,218.3;29,371.5;24,301.1;19,571.8;19,252.2;16,818.4;13,216.5;13,705.5;14,650.7;15,197.9;16,664.8;15,079.4;16,223.8;14,724.3;14,728.8;15,797.7;17,116.8;20,519.4;17,651.5;20,207.2;27,494.8;25,836.3;27,151.0;31,440.2;40,792.3;52,468.4;59,978.9;64,707.0;79,811.6;60,734.0;73,021.3;92,993.0;98,041.4;97,630.8;93,126.1;66,984.9;58,467.2;59,407.7;66,264.1;62,827.4;52,315.7;66,858.7;87,661.5;..
Romania;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,658.8;1,753.2;1,789.6;1,648.5;1,254.3;1,102.1;1,158.1;1,323.0;1,650.0;1,633.0;1,577.3;1,852.6;1,599.9;1,659.9;1,825.2;2,119.9;2,679.4;3,495.0;4,618.0;5,757.5;8,360.3;10,435.2;8,548.0;8,397.8;9,560.2;8,930.7;9,497.2;10,031.3;8,977.0;9,404.4;10,728.0;12,494.4;12,958.0;13,047.5;14,946.6;15,786.8;..
Russian Federation;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,778.0;3,429.6;3,494.1;3,490.5;3,098.8;2,930.7;2,662.1;2,665.8;2,643.9;2,737.6;1,834.9;1,330.8;1,771.6;2,100.4;2,377.5;2,975.1;4,102.4;5,323.5;6,920.2;9,101.2;11,635.3;8,562.8;10,675.0;14,311.1;15,420.9;15,974.6;14,095.6;9,313.0;8,704.9;10,720.3;11,287.4;11,536.3;10,194.4;12,532.1;15,270.7;..
Rwanda;40.1;40.0;40.0;40.1;39.8;44.4;36.2;;45.0;47.0;49.9;56.4;55.5;59.6;68.3;70.3;126.6;137.2;156.1;184.0;218.6;239.1;258.6;248.9;252.5;262.1;273.8;299.3;320.3;344.5;336.7;348.4;255.4;265.0;249.4;111.9;227.5;205.8;241.5;251.3;269.3;255.1;239.1;234.8;249.6;270.3;325.1;358.1;427.5;529.6;565.0;594.2;651.0;706.2;704.5;724.8;733.9;728.9;756.5;768.9;806.1;773.8;821.2;966.2;..
Samoa;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;726.4;670.1;654.8;573.9;606.8;669.9;794.4;732.0;747.8;744.5;779.2;776.9;1,277.2;1,285.7;1,414.2;1,598.9;1,493.9;1,401.7;1,406.8;1,435.3;1,509.9;1,778.8;2,168.0;2,527.8;2,639.8;3,011.1;3,344.1;3,251.0;3,494.4;3,789.6;3,902.3;3,989.9;3,948.7;4,048.5;4,105.8;4,261.6;4,189.1;4,308.3;4,042.7;3,857.7;3,745.6;..
San Marino;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;42,004.9;37,473.8;39,415.2;41,770.1;51,198.4;59,249.6;60,520.8;63,692.6;71,970.1;77,962.1;66,200.7;59,516.3;55,815.3;48,433.6;50,435.4;50,133.6;42,281.8;43,398.4;44,885.5;48,464.5;47,287.4;45,321.5;54,982.5;..;..
Sao Tome and Principe;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;519.3;568.4;663.9;726.6;844.0;861.5;878.1;1,080.6;1,126.5;1,043.3;1,217.2;1,207.7;1,378.2;1,484.2;1,292.7;1,428.3;1,547.8;1,815.6;1,924.4;2,155.3;2,350.5;2,386.7;..
Saudi Arabia;..;..;..;..;..;..;..;;..;747.2;767.5;880.6;1,123.2;1,437.2;2,108.6;6,068.4;5,922.5;7,693.4;8,473.7;8,714.6;11,553.2;16,176.2;17,258.6;13,680.8;10,997.1;9,717.4;8,060.2;6,449.6;6,082.1;5,998.2;6,210.1;7,349.7;7,939.3;7,932.7;7,450.7;7,359.4;7,588.8;8,174.1;8,323.8;7,169.4;7,697.3;8,795.3;8,337.3;8,381.0;9,321.8;10,935.0;13,462.8;14,848.6;15,756.2;18,944.9;15,064.6;17,958.9;22,441.6;24,069.2;23,945.5;23,862.8;20,442.4;19,930.4;20,910.5;24,175.6;23,405.7;20,398.1;24,315.6;30,447.9;..
Senegal;306.6;314.5;313.4;315.0;324.4;320.9;321.2;;311.8;318.0;293.6;297.0;297.8;349.8;390.5;427.4;560.7;553.9;553.5;603.8;734.1;790.7;699.9;668.1;578.3;549.6;585.7;803.5;938.9;902.3;869.5;980.8;935.6;974.3;898.9;598.1;732.8;741.8;667.5;702.4;695.6;619.6;654.8;688.2;840.4;941.9;1,003.2;1,038.6;1,210.2;1,419.5;1,324.0;1,286.6;1,383.5;1,334.7;1,391.5;1,417.1;1,238.1;1,290.7;1,385.2;1,484.2;1,462.7;1,492.5;1,633.6;1,598.7;..
Serbia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,207.5;2,864.1;3,380.0;2,571.2;2,571.3;914.8;1,727.3;2,283.8;3,005.4;3,502.8;3,720.5;4,382.6;5,848.5;7,101.0;6,169.1;5,735.4;6,809.2;6,015.9;6,755.1;6,600.1;5,589.0;5,765.2;6,292.5;7,252.4;7,417.2;7,733.8;9,233.0;9,537.7;..
Seychelles;288.1;270.3;287.0;308.2;332.3;328.5;337.6;;333.2;314.4;314.2;343.9;401.6;547.0;648.5;744.5;806.2;814.5;1,044.4;1,376.5;2,030.1;2,478.4;2,557.2;2,440.7;2,426.3;2,487.6;2,754.1;3,368.5;3,871.8;4,392.2;4,689.1;5,642.1;5,654.6;6,520.5;6,978.7;6,974.9;7,180.7;7,004.3;7,746.7;8,209.5;8,243.2;8,063.7;8,153.3;8,864.2;9,070.3;10,827.7;11,802.1;12,783.0;12,669.3;11,265.4;9,749.0;10,938.2;12,113.9;12,342.5;14,729.6;15,188.2;14,894.5;15,409.8;15,961.2;16,411.9;16,851.1;12,020.0;12,963.1;13,250.5;..
Sierra Leone;140.0;140.1;143.9;143.7;150.4;142.6;146.2;;133.1;123.5;150.0;156.4;148.1;161.2;195.6;216.4;222.3;191.1;218.2;297.0;336.2;326.8;324.4;369.0;277.6;296.6;228.5;127.6;167.2;260.1;224.3;150.2;178.2;158.1;179.0;211.3;201.4;216.6;193.0;151.1;149.6;138.7;221.3;240.5;256.0;258.5;286.3;320.5;358.1;402.6;386.4;400.5;443.5;558.2;706.5;702.3;581.3;515.4;484.5;519.6;506.6;493.4;504.6;475.8;..
Singapore;428.1;449.1;472.1;511.2;485.5;516.5;566.8;;626.0;708.6;812.7;925.8;1,071.4;1,264.4;1,685.5;2,341.7;2,489.9;2,758.9;2,846.3;3,193.9;3,900.5;4,928.1;5,596.6;6,077.6;6,633.2;7,228.3;7,001.8;6,799.9;7,539.0;8,914.4;10,394.5;11,861.8;14,502.4;16,136.2;18,290.1;21,552.4;24,914.9;26,232.9;26,375.9;21,829.3;21,796.6;23,852.8;21,699.7;22,159.8;23,730.4;27,608.1;29,961.3;33,768.5;39,432.9;40,008.6;38,926.8;47,236.7;53,891.5;55,547.6;56,967.4;57,564.8;55,645.6;56,895.7;61,164.9;66,836.5;66,070.5;61,274.0;77,710.1;82,807.6;..
Sint Maarten (Dutch part);..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;27,997.3;28,460.3;27,942.9;36,136.7;36,520.0;35,703.1;33,351.7;30,791.1;33,836.8;29,223.1;31,711.6;35,873.1;..
Slovak Republic;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,405.5;2,691.2;2,920.9;3,102.3;3,771.4;4,819.1;5,196.9;5,146.7;5,538.6;5,645.6;5,426.6;5,722.2;6,564.7;8,731.9;10,691.4;11,690.1;13,170.8;16,106.1;18,753.6;16,597.2;16,908.8;18,509.7;17,498.4;18,276.0;18,720.0;16,390.9;16,563.4;17,585.2;19,486.4;19,381.9;19,552.1;21,768.1;21,256.8;..
Slovenia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10,730.5;10,815.1;10,455.0;11,175.8;11,452.8;10,201.3;10,479.8;11,777.2;14,849.0;17,233.1;18,098.9;19,673.0;23,817.9;27,595.6;24,792.1;23,532.5;25,128.0;22,641.8;23,503.3;24,247.2;20,890.2;21,678.4;23,514.0;26,123.7;26,042.4;25,558.4;29,331.1;28,439.3;..
Solomon Islands;..;..;..;..;..;..;..;;157.9;171.3;169.9;..;282.4;223.3;295.9;440.0;377.2;407.2;441.6;508.8;670.0;782.5;801.2;770.8;699.8;677.7;597.2;515.2;524.4;578.4;549.6;662.9;681.4;782.3;849.4;1,105.2;1,251.2;1,322.5;1,326.2;1,121.1;1,164.1;976.4;929.9;768.5;905.6;992.0;1,145.9;1,251.0;1,377.9;1,504.5;1,526.2;1,662.0;1,921.4;2,087.5;2,208.1;2,235.7;2,134.8;2,196.3;2,283.6;2,450.5;2,398.8;2,222.5;2,232.5;2,205.3;..
Somalia;62.9;65.1;67.3;69.7;72.1;74.6;76.7;;79.0;81.2;84.5;86.7;86.7;106.4;126.1;113.3;168.1;186.3;112.0;118.3;109.2;102.4;117.8;130.1;119.5;123.8;132.2;134.7;141.1;145.0;155.3;131.0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;454.1;491.2;507.5;517.1;555.2;537.2;589.5;556.6;576.5;592.1;..
South Africa;529.6;543.0;560.7;601.6;642.7;681.1;718.1;;775.2;813.5;887.2;948.6;1,016.5;1,034.5;1,364.2;1,650.5;1,664.5;1,554.0;1,666.5;1,846.9;2,196.7;3,034.7;3,080.8;2,769.1;3,019.1;2,590.0;1,909.7;2,103.2;2,672.7;2,780.6;2,794.4;3,160.9;3,304.8;3,519.0;3,461.3;3,548.0;3,904.3;3,654.9;3,731.4;3,336.4;3,267.9;3,241.7;2,867.5;2,708.4;4,095.7;5,268.3;5,893.2;6,139.6;6,662.1;6,251.9;6,444.2;8,059.6;8,737.0;8,173.9;7,441.2;6,965.1;6,204.9;5,735.1;6,734.5;7,067.7;6,702.5;5,753.1;7,073.6;6,766.5;..
South Sudan;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,653.0;1,325.3;1,503.1;1,455.4;1,114.9;1,659.1;1,245.1;1,071.8;..;..;..;..;..;..;..;..
Spain;396.4;450.1;520.2;609.5;675.2;774.8;889.7;;968.3;950.5;1,077.7;1,212.3;1,362.2;1,708.8;2,247.6;2,749.9;3,209.8;3,279.3;3,627.6;4,356.4;5,770.2;6,208.6;5,371.2;5,159.7;4,478.5;4,490.0;4,699.7;6,513.5;8,239.6;9,703.1;10,682.0;13,804.9;14,811.9;16,112.2;13,339.9;13,415.3;15,472.0;16,109.1;14,730.8;15,394.4;15,720.6;14,749.7;15,369.0;17,106.7;21,510.8;24,907.0;26,429.2;28,389.1;32,591.4;35,510.7;32,169.5;30,532.5;31,677.9;28,322.9;29,077.2;29,513.7;25,754.4;26,537.2;28,185.3;30,379.7;29,581.5;26,984.3;30,488.8;29,674.5;..
Sri Lanka;144.1;144.1;139.7;118.0;121.6;153.9;155.0;;160.7;152.1;162.2;185.4;187.2;197.8;218.4;266.4;277.5;258.2;289.9;189.6;229.2;269.3;290.5;308.9;330.0;380.7;371.5;392.5;403.8;416.0;411.2;466.9;516.8;550.5;580.0;650.6;716.8;758.5;818.0;851.0;838.6;869.8;832.4;865.3;978.2;1,060.1;1,240.5;1,423.2;1,611.2;2,007.0;2,053.8;2,837.0;3,248.0;3,351.9;3,643.8;3,885.6;3,990.4;4,107.8;4,388.2;4,360.6;4,082.7;3,852.4;3,996.6;3,354.4;..
